GISFIPSCode,AVG_AGE,Current_Smoker_Count,Former_Smoker_count,Smoke_at_all_count,PatientCount,ends_atall,ends_use_100k,Current_Smoker_100k,Former_Smoker_100k,Smoke_at_all_100k
40099,75,267,260,527,984,125,12710,27140,26430,53560
20149,62,204,240,444,1201,65,5420,16990,19990,36970
29189,68,4891,9259,14150,32261,1023,3180,15160,28700,43870
51165,73,477,879,1356,2769,147,5310,17230,31750,48970
30089,71,240,390,630,1247,38,3050,19250,31280,50530
31047,75,167,241,408,976,26,2670,17110,24700,41810
22027,72,163,149,312,655,11,770,24890,22750,47640
55078,66,44,58,102,166,11,5430,26510,34940,61450
54109,70,305,271,576,1092,39,3580,27930,24820,52750
27045,72,135,316,451,883,24,2720,15290,35790,51080
42109,72,169,324,493,981,32,3270,17230,33030,50260
37019,68,1273,2628,3901,8361,326,3900,15230,31440,46660
39163,70,228,238,466,918,35,3820,24840,25930,50770
21217,69,233,335,568,994,31,3120,23440,33710,57150
17195,72,550,1007,1557,2766,111,4020,19890,36410,56290
48073,69,510,722,1232,2038,80,3930,25030,35430,60460
48317,74,27,61,88,154,11,4550,17540,39610,57150
51051,71,195,250,445,683,56,8200,28550,36610,65160
28041,69,107,111,218,416,16,3850,25730,26690,52410
42051,72,1369,2061,3430,6731,154,2290,20340,30620,50960
27089,75,123,191,314,615,14,2280,20000,31060,51060
28031,74,253,273,526,1122,24,2140,22550,24340,46880
26129,70,288,409,697,1387,81,5840,20770,29490,50260
6089,70,2330,3392,5722,12044,436,3620,19350,28170,47510
24003,59,2411,3854,6265,22036,633,2880,10950,17490,28430
6033,72,785,1123,1908,4170,231,5540,18830,26930,45760
19063,77,106,174,280,660,22,3340,16060,26370,42430
6065,64,9552,15759,25311,82084,3397,4140,11640,19200,30840
8027,65,82,134,216,399,17,4260,20560,33590,54140
13069,66,395,347,742,1548,46,2980,25520,22420,47940
5005,72,677,1287,1964,3891,183,4710,17400,33080,50480
2261,66,67,98,165,432,11,1620,15510,22690,38200
28025,70,138,142,280,728,21,2890,18960,19510,38470
37037,69,300,674,974,2147,72,3360,13980,31400,45370
40121,69,1055,1357,2412,3886,247,6360,27150,34920,62070
17169,71,73,92,165,344,11,2330,21220,26750,47970
22033,65,2225,2670,4895,13301,382,2880,16730,20080,36810
36111,71,826,2449,3275,5705,144,2530,14480,42930,57410
